#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   164    0.48487E+04   -0.42824E+02    0.12232E-05   -0.42824E+02    0.94437E+00   -0.39267E-08    0.12232E-05   -0.39267E-08    0.22559E-11
   165    0.48784E+04   -0.42452E+02    0.12057E-05   -0.42452E+02    0.93430E+00   -0.38934E-08    0.12057E-05   -0.38934E-08    0.22147E-11
   166    0.49078E+04   -0.42054E+02    0.11885E-05   -0.42054E+02    0.92412E+00   -0.38616E-08    0.11885E-05   -0.38616E-08    0.21745E-11
   167    0.49369E+04   -0.41629E+02    0.11717E-05   -0.41629E+02    0.91360E+00   -0.38308E-08    0.11717E-05   -0.38308E-08    0.21352E-11
   168    0.49655E+04   -0.41175E+02    0.11551E-05   -0.41175E+02    0.90313E+00   -0.38003E-08    0.11551E-05   -0.38003E-08    0.20968E-11
   169    0.49938E+04   -0.40693E+02    0.11389E-05   -0.40693E+02    0.89239E+00   -0.37697E-08    0.11389E-05   -0.37697E-08    0.20593E-11
   170    0.50218E+04   -0.40184E+02    0.11229E-05   -0.40184E+02    0.88163E+00   -0.37383E-08    0.11229E-05   -0.37383E-08    0.20227E-11
   171    0.50492E+04   -0.39645E+02    0.11072E-05   -0.39645E+02    0.87083E+00   -0.37057E-08    0.11072E-05   -0.37057E-08    0.19870E-11
   172    0.50763E+04   -0.39079E+02    0.10919E-05   -0.39079E+02    0.85994E+00   -0.36711E-08    0.10919E-05   -0.36711E-08    0.19520E-11
   173    0.51028E+04   -0.38485E+02    0.10767E-05   -0.38485E+02    0.84894E+00   -0.36341E-08    0.10767E-05   -0.36341E-08    0.19179E-11
   174    0.51291E+04   -0.37863E+02    0.10619E-05   -0.37863E+02    0.83814E+00   -0.35941E-08    0.10619E-05   -0.35941E-08    0.18844E-11
   175    0.51549E+04   -0.37212E+02    0.10473E-05   -0.37212E+02    0.82724E+00   -0.35505E-08    0.10473E-05   -0.35505E-08    0.18517E-11
   176    0.51801E+04   -0.36533E+02    0.10330E-05   -0.36533E+02    0.81646E+00   -0.35029E-08    0.10330E-05   -0.35029E-08    0.18197E-11
   177    0.52049E+04   -0.35826E+02    0.10190E-05   -0.35826E+02    0.80575E+00   -0.34514E-08    0.10190E-05   -0.34514E-08    0.17884E-11
