#    L    TT             EE             BB             TE             PP             TP             EP          
   131    0.37434E+04    0.10733E+01    0.00000E+00   -0.41006E+02    0.75995E-07    0.26697E-03   -0.87190E-06
   132    0.37789E+04    0.10766E+01    0.00000E+00   -0.41405E+02    0.75473E-07    0.26454E-03   -0.87904E-06
   133    0.38144E+04    0.10795E+01    0.00000E+00   -0.41788E+02    0.74956E-07    0.26215E-03   -0.88335E-06
   134    0.38499E+04    0.10820E+01    0.00000E+00   -0.42152E+02    0.74443E-07    0.25979E-03   -0.88505E-06
   135    0.38854E+04    0.10839E+01    0.00000E+00   -0.42499E+02    0.73935E-07    0.25748E-03   -0.88435E-06
   136    0.39207E+04    0.10853E+01    0.00000E+00   -0.42825E+02    0.73432E-07    0.25520E-03   -0.88147E-06
   137    0.39560E+04    0.10863E+01    0.00000E+00   -0.43134E+02    0.72934E-07    0.25295E-03   -0.87662E-06
   138    0.39912E+04    0.10867E+01    0.00000E+00   -0.43423E+02    0.72440E-07    0.25074E-03   -0.87002E-06
   139    0.40262E+04    0.10868E+01    0.00000E+00   -0.43691E+02    0.71950E-07    0.24856E-03   -0.86190E-06
   140    0.40613E+04    0.10862E+01    0.00000E+00   -0.43940E+02    0.71466E-07    0.24642E-03   -0.85245E-06
   141    0.40962E+04    0.10851E+01    0.00000E+00   -0.44167E+02    0.70985E-07    0.24430E-03   -0.84190E-06
   142    0.41310E+04    0.10836E+01    0.00000E+00   -0.44373E+02    0.70509E-07    0.24221E-03   -0.83047E-06
   143    0.41658E+04    0.10817E+01    0.00000E+00   -0.44558E+02    0.70038E-07    0.24014E-03   -0.81837E-06
   144    0.42003E+04    0.10792E+01    0.00000E+00   -0.44721E+02    0.69570E-07    0.23810E-03   -0.80582E-06
   145    0.42347E+04    0.10763E+01    0.00000E+00   -0.44861E+02    0.69107E-07    0.23609E-03   -0.79302E-06
   146    0.42692E+04    0.10729E+01    0.00000E+00   -0.44979E+02    0.68648E-07    0.23410E-03   -0.78020E-06
   147    0.43033E+04    0.10691E+01    0.00000E+00   -0.45073E+02    0.68194E-07    0.23213E-03   -0.76758E-06
   148    0.43372E+04    0.10648E+01    0.00000E+00   -0.45145E+02    0.67744E-07    0.23017E-03   -0.75536E-06
   149    0.43710E+04    0.10600E+01    0.00000E+00   -0.45192E+02    0.67297E-07    0.22824E-03   -0.74377E-06
   150    0.44046E+04    0.10549E+01    0.00000E+00   -0.45213E+02    0.66855E-07    0.22633E-03   -0.73301E-06
   151    0.44379E+04    0.10493E+01    0.00000E+00   -0.45211E+02    0.66417E-07    0.22443E-03   -0.72326E-06
   152    0.44710E+04    0.10433E+01    0.00000E+00   -0.45185E+02    0.65983E-07    0.22254E-03   -0.71449E-06
   153    0.45039E+04    0.10368E+01    0.00000E+00   -0.45131E+02    0.65553E-07    0.22068E-03   -0.70664E-06
   154    0.45366E+04    0.10301E+01    0.00000E+00   -0.45053E+02    0.65127E-07    0.21882E-03   -0.69963E-06
   155    0.45691E+04    0.10229E+01    0.00000E+00   -0.44949E+02    0.64705E-07    0.21699E-03   -0.69339E-06
   156    0.46011E+04    0.10154E+01    0.00000E+00   -0.44820E+02    0.64286E-07    0.21517E-03   -0.68785E-06
   157    0.46331E+04    0.10076E+01    0.00000E+00   -0.44663E+02    0.63872E-07    0.21336E-03   -0.68295E-06
   158    0.46647E+04    0.99948E+00    0.00000E+00   -0.44481E+02    0.63461E-07    0.21158E-03   -0.67861E-06
   159    0.46961E+04    0.99095E+00    0.00000E+00   -0.44272E+02    0.63054E-07    0.20981E-03   -0.67476E-06
   160    0.47272E+04    0.98214E+00    0.00000E+00   -0.44036E+02    0.62651E-07    0.20805E-03   -0.67133E-06
   161    0.47580E+04    0.97313E+00    0.00000E+00   -0.43773E+02    0.62252E-07    0.20632E-03   -0.66826E-06
   162    0.47885E+04    0.96379E+00    0.00000E+00   -0.43484E+02    0.61856E-07    0.20460E-03   -0.66547E-06
   163    0.48189E+04    0.95417E+00    0.00000E+00   -0.43167E+02    0.61464E-07    0.20289E-03   -0.66289E-06
   164    0.48487E+04    0.94437E+00    0.00000E+00   -0.42824E+02    0.61076E-07    0.20121E-03   -0.66046E-06
   165    0.48784E+04    0.93430E+00    0.00000E+00   -0.42452E+02    0.60691E-07    0.19954E-03   -0.65810E-06
   166    0.49078E+04    0.92412E+00    0.00000E+00   -0.42054E+02    0.60310E-07    0.19788E-03   -0.65574E-06
   167    0.49369E+04    0.91360E+00    0.00000E+00   -0.41629E+02    0.59932E-07    0.19625E-03   -0.65331E-06
   168    0.49655E+04    0.90313E+00    0.00000E+00   -0.41175E+02    0.59558E-07    0.19463E-03   -0.65075E-06
   169    0.49938E+04    0.89239E+00    0.00000E+00   -0.40693E+02    0.59187E-07    0.19303E-03   -0.64798E-06
   170    0.50218E+04    0.88163E+00    0.00000E+00   -0.40184E+02    0.58820E-07    0.19145E-03   -0.64493E-06
   171    0.50492E+04    0.87083E+00    0.00000E+00   -0.39645E+02    0.58456E-07    0.18989E-03   -0.64154E-06
   172    0.50763E+04    0.85994E+00    0.00000E+00   -0.39079E+02    0.58095E-07    0.18834E-03   -0.63773E-06
   173    0.51028E+04    0.84894E+00    0.00000E+00   -0.38485E+02    0.57738E-07    0.18681E-03   -0.63344E-06
   174    0.51291E+04    0.83814E+00    0.00000E+00   -0.37863E+02    0.57384E-07    0.18530E-03   -0.62859E-06
   175    0.51549E+04    0.82724E+00    0.00000E+00   -0.37212E+02    0.57033E-07    0.18381E-03   -0.62311E-06
   176    0.51801E+04    0.81646E+00    0.00000E+00   -0.36533E+02    0.56686E-07    0.18233E-03   -0.61696E-06
   177    0.52049E+04    0.80575E+00    0.00000E+00   -0.35826E+02    0.56342E-07    0.18088E-03   -0.61013E-06
   178    0.52292E+04    0.79531E+00    0.00000E+00   -0.35091E+02    0.56001E-07    0.17944E-03   -0.60267E-06
   179    0.52531E+04    0.78486E+00    0.00000E+00   -0.34328E+02    0.55663E-07    0.17802E-03   -0.59459E-06
   180    0.52766E+04    0.77462E+00    0.00000E+00   -0.33537E+02    0.55328E-07    0.17661E-03   -0.58592E-06
   181    0.52995E+04    0.76459E+00    0.00000E+00   -0.32720E+02    0.54996E-07    0.17522E-03   -0.57668E-06
   182    0.53219E+04    0.75485E+00    0.00000E+00   -0.31874E+02    0.54668E-07    0.17385E-03   -0.56691E-06
   183    0.53438E+04    0.74532E+00    0.00000E+00   -0.31002E+02    0.54342E-07    0.17249E-03   -0.55664E-06
   184    0.53652E+04    0.73609E+00    0.00000E+00   -0.30102E+02    0.54019E-07    0.17115E-03   -0.54587E-06
   185    0.53862E+04    0.72731E+00    0.00000E+00   -0.29176E+02    0.53700E-07    0.16982E-03   -0.53465E-06
   186    0.54063E+04    0.71883E+00    0.00000E+00   -0.28223E+02    0.53383E-07    0.16851E-03   -0.52300E-06
   187    0.54262E+04    0.71080E+00    0.00000E+00   -0.27242E+02    0.53069E-07    0.16721E-03   -0.51095E-06
   188    0.54455E+04    0.70321E+00    0.00000E+00   -0.26237E+02    0.52758E-07    0.16593E-03   -0.49851E-06
   189    0.54642E+04    0.69609E+00    0.00000E+00   -0.25205E+02    0.52449E-07    0.16465E-03   -0.48573E-06
   190    0.54827E+04    0.68950E+00    0.00000E+00   -0.24149E+02    0.52144E-07    0.16339E-03   -0.47262E-06
   191    0.55003E+04    0.68347E+00    0.00000E+00   -0.23065E+02    0.51841E-07    0.16214E-03   -0.45921E-06
   192    0.55175E+04    0.67802E+00    0.00000E+00   -0.21956E+02    0.51541E-07    0.16091E-03   -0.44553E-06
   193    0.55340E+04    0.67319E+00    0.00000E+00   -0.20824E+02    0.51243E-07    0.15969E-03   -0.43161E-06
   194    0.55501E+04    0.66902E+00    0.00000E+00   -0.19666E+02    0.50948E-07    0.15847E-03   -0.41746E-06
   195    0.55656E+04    0.66555E+00    0.00000E+00   -0.18485E+02    0.50656E-07    0.15727E-03   -0.40312E-06
   196    0.55804E+04    0.66282E+00    0.00000E+00   -0.17280E+02    0.50367E-07    0.15608E-03   -0.38862E-06
   197    0.55948E+04    0.66087E+00    0.00000E+00   -0.16052E+02    0.50079E-07    0.15490E-03   -0.37397E-06
   198    0.56086E+04    0.65973E+00    0.00000E+00   -0.14801E+02    0.49795E-07    0.15372E-03   -0.35922E-06
   199    0.56219E+04    0.65944E+00    0.00000E+00   -0.13527E+02    0.49513E-07    0.15256E-03   -0.34437E-06
   200    0.56346E+04    0.66002E+00    0.00000E+00   -0.12232E+02    0.49233E-07    0.15141E-03   -0.32946E-06
   201    0.56466E+04    0.66155E+00    0.00000E+00   -0.10914E+02    0.48956E-07    0.15026E-03   -0.31452E-06
   202    0.56581E+04    0.66403E+00    0.00000E+00   -0.95759E+01    0.48681E-07    0.14912E-03   -0.29954E-06
   203    0.56690E+04    0.66752E+00    0.00000E+00   -0.82157E+01    0.48408E-07    0.14799E-03   -0.28453E-06
   204    0.56791E+04    0.67203E+00    0.00000E+00   -0.68370E+01    0.48138E-07    0.14687E-03   -0.26950E-06
   205    0.56888E+04    0.67763E+00    0.00000E+00   -0.54376E+01    0.47870E-07    0.14576E-03   -0.25444E-06
   206    0.56977E+04    0.68433E+00    0.00000E+00   -0.40187E+01    0.47605E-07    0.14466E-03   -0.23936E-06
   207    0.57060E+04    0.69217E+00    0.00000E+00   -0.25808E+01    0.47342E-07    0.14356E-03   -0.22427E-06
   208    0.57136E+04    0.70120E+00    0.00000E+00   -0.11246E+01    0.47081E-07    0.14247E-03   -0.20916E-06
   209    0.57205E+04    0.71144E+00    0.00000E+00    0.34962E+00    0.46822E-07    0.14139E-03   -0.19404E-06
   210    0.57268E+04    0.72294E+00    0.00000E+00    0.18409E+01    0.46565E-07    0.14032E-03   -0.17891E-06
   211    0.57325E+04    0.73573E+00    0.00000E+00    0.33491E+01    0.46311E-07    0.13925E-03   -0.16378E-06
   212    0.57374E+04    0.74985E+00    0.00000E+00    0.48733E+01    0.46059E-07    0.13819E-03   -0.14864E-06
   213    0.57418E+04    0.76533E+00    0.00000E+00    0.64134E+01    0.45809E-07    0.13714E-03   -0.13350E-06
   214    0.57455E+04    0.78217E+00    0.00000E+00    0.79683E+01    0.45561E-07    0.13610E-03   -0.11836E-06
   215    0.57485E+04    0.80056E+00    0.00000E+00    0.95371E+01    0.45315E-07    0.13507E-03   -0.10323E-06
   216    0.57508E+04    0.82032E+00    0.00000E+00    0.11120E+02    0.45071E-07    0.13404E-03   -0.88107E-07
   217    0.57526E+04    0.84160E+00    0.00000E+00    0.12716E+02    0.44830E-07    0.13302E-03   -0.72996E-07
   218    0.57537E+04    0.86441E+00    0.00000E+00    0.14324E+02    0.44590E-07    0.13201E-03   -0.57899E-07
   219    0.57542E+04    0.88873E+00    0.00000E+00    0.15946E+02    0.44352E-07    0.13101E-03   -0.42818E-07
   220    0.57540E+04    0.91473E+00    0.00000E+00    0.17576E+02    0.44117E-07    0.13001E-03   -0.27758E-07
   221    0.57532E+04    0.94233E+00    0.00000E+00    0.19218E+02    0.43883E-07    0.12902E-03   -0.12720E-07
   222    0.57518E+04    0.97167E+00    0.00000E+00    0.20869E+02    0.43652E-07    0.12804E-03    0.22922E-08
   223    0.57497E+04    0.10027E+01    0.00000E+00    0.22531E+02    0.43422E-07    0.12706E-03    0.17276E-07
