#    L    TT             EE             BB             TE          
   267    0.50564E+04    0.44549E+01    0.20507E-01    0.93095E+02
   268    0.50295E+04    0.45832E+01    0.20644E-01    0.94395E+02
   269    0.50020E+04    0.47136E+01    0.20781E-01    0.95669E+02
   270    0.49743E+04    0.48462E+01    0.20918E-01    0.96920E+02
   271    0.49462E+04    0.49808E+01    0.21054E-01    0.98146E+02
   272    0.49179E+04    0.51179E+01    0.21190E-01    0.99341E+02
   273    0.48891E+04    0.52567E+01    0.21325E-01    0.10052E+03
   274    0.48600E+04    0.53979E+01    0.21459E-01    0.10166E+03
   275    0.48306E+04    0.55410E+01    0.21594E-01    0.10278E+03
   276    0.48010E+04    0.56861E+01    0.21727E-01    0.10386E+03
   277    0.47709E+04    0.58333E+01    0.21860E-01    0.10493E+03
   278    0.47406E+04    0.59825E+01    0.21993E-01    0.10595E+03
   279    0.47100E+04    0.61336E+01    0.22125E-01    0.10695E+03
   280    0.46791E+04    0.62866E+01    0.22256E-01    0.10792E+03
   281    0.46481E+04    0.64415E+01    0.22387E-01    0.10886E+03
   282    0.46167E+04    0.65982E+01    0.22517E-01    0.10977E+03
   283    0.45851E+04    0.67567E+01    0.22647E-01    0.11064E+03
   284    0.45533E+04    0.69170E+01    0.22776E-01    0.11149E+03
   285    0.45213E+04    0.70792E+01    0.22904E-01    0.11230E+03
   286    0.44890E+04    0.72430E+01    0.23032E-01    0.11307E+03
   287    0.44565E+04    0.74084E+01    0.23159E-01    0.11382E+03
   288    0.44239E+04    0.75755E+01    0.23286E-01    0.11453E+03
   289    0.43911E+04    0.77442E+01    0.23412E-01    0.11520E+03
   290    0.43581E+04    0.79143E+01    0.23537E-01    0.11585E+03
   291    0.43250E+04    0.80866E+01    0.23662E-01    0.11645E+03
   292    0.42915E+04    0.82598E+01    0.23786E-01    0.11702E+03
   293    0.42582E+04    0.84338E+01    0.23909E-01    0.11755E+03
   294    0.42245E+04    0.86099E+01    0.24032E-01    0.11806E+03
   295    0.41910E+04    0.87866E+01    0.24154E-01    0.11851E+03
   296    0.41572E+04    0.89655E+01    0.24276E-01    0.11894E+03
   297    0.41233E+04    0.91443E+01    0.24397E-01    0.11933E+03
   298    0.40893E+04    0.93252E+01    0.24517E-01    0.11968E+03
   299    0.40552E+04    0.95075E+01    0.24636E-01    0.11999E+03
   300    0.40211E+04    0.96897E+01    0.24755E-01    0.12026E+03
   301    0.39868E+04    0.98732E+01    0.24873E-01    0.12050E+03
   302    0.39526E+04    0.10057E+02    0.24991E-01    0.12070E+03
   303    0.39184E+04    0.10243E+02    0.25108E-01    0.12086E+03
   304    0.38841E+04    0.10430E+02    0.25224E-01    0.12098E+03
   305    0.38499E+04    0.10617E+02    0.25339E-01    0.12106E+03
   306    0.38155E+04    0.10804E+02    0.25454E-01    0.12110E+03
   307    0.37813E+04    0.10992E+02    0.25568E-01    0.12110E+03
   308    0.37470E+04    0.11182E+02    0.25682E-01    0.12108E+03
   309    0.37128E+04    0.11371E+02    0.25795E-01    0.12100E+03
   310    0.36786E+04    0.11560E+02    0.25907E-01    0.12089E+03
   311    0.36445E+04    0.11752E+02    0.26018E-01    0.12073E+03
   312    0.36105E+04    0.11942E+02    0.26129E-01    0.12054E+03
   313    0.35765E+04    0.12133E+02    0.26239E-01    0.12031E+03
   314    0.35426E+04    0.12324E+02    0.26348E-01    0.12004E+03
   315    0.35088E+04    0.12514E+02    0.26457E-01    0.11973E+03
   316    0.34751E+04    0.12705E+02    0.26565E-01    0.11939E+03
   317    0.34416E+04    0.12896E+02    0.26673E-01    0.11900E+03
   318    0.34081E+04    0.13087E+02    0.26779E-01    0.11857E+03
   319    0.33748E+04    0.13277E+02    0.26885E-01    0.11811E+03
   320    0.33416E+04    0.13468E+02    0.26991E-01    0.11762E+03
   321    0.33086E+04    0.13659E+02    0.27095E-01    0.11708E+03
   322    0.32757E+04    0.13848E+02    0.27199E-01    0.11651E+03
   323    0.32430E+04    0.14037E+02    0.27303E-01    0.11589E+03
   324    0.32105E+04    0.14226E+02    0.27406E-01    0.11523E+03
   325    0.31783E+04    0.14413E+02    0.27508E-01    0.11455E+03
   326    0.31461E+04    0.14600E+02    0.27609E-01    0.11382E+03
   327    0.31142E+04    0.14787E+02    0.27710E-01    0.11305E+03
   328    0.30826E+04    0.14972E+02    0.27811E-01    0.11226E+03
   329    0.30511E+04    0.15157E+02    0.27910E-01    0.11142E+03
   330    0.30198E+04    0.15340E+02    0.28009E-01    0.11054E+03
   331    0.29889E+04    0.15522E+02    0.28108E-01    0.10964E+03
   332    0.29582E+04    0.15704E+02    0.28206E-01    0.10870E+03
   333    0.29277E+04    0.15884E+02    0.28303E-01    0.10773E+03
   334    0.28976E+04    0.16063E+02    0.28400E-01    0.10671E+03
   335    0.28676E+04    0.16239E+02    0.28497E-01    0.10567E+03
   336    0.28379E+04    0.16415E+02    0.28593E-01    0.10459E+03
   337    0.28086E+04    0.16590E+02    0.28688E-01    0.10347E+03
   338    0.27795E+04    0.16762E+02    0.28783E-01    0.10232E+03
   339    0.27509E+04    0.16934E+02    0.28877E-01    0.10114E+03
   340    0.27224E+04    0.17103E+02    0.28971E-01    0.99938E+02
   341    0.26942E+04    0.17270E+02    0.29065E-01    0.98691E+02
   342    0.26665E+04    0.17437E+02    0.29158E-01    0.97414E+02
   343    0.26390E+04    0.17601E+02    0.29251E-01    0.96108E+02
   344    0.26120E+04    0.17762E+02    0.29343E-01    0.94772E+02
