#    L    TT             EE             TE             PP             TP          
   214    0.57455E+04    0.78217E+00    0.79683E+01    0.21068E+07    0.23145E+04
   215    0.57485E+04    0.80056E+00    0.95371E+01    0.20955E+07    0.22970E+04
   216    0.57508E+04    0.82032E+00    0.11120E+02    0.20843E+07    0.22796E+04
   217    0.57526E+04    0.84160E+00    0.12716E+02    0.20732E+07    0.22623E+04
   218    0.57537E+04    0.86441E+00    0.14324E+02    0.20622E+07    0.22452E+04
   219    0.57542E+04    0.88873E+00    0.15946E+02    0.20513E+07    0.22282E+04
   220    0.57540E+04    0.91473E+00    0.17576E+02    0.20405E+07    0.22113E+04
   221    0.57532E+04    0.94233E+00    0.19218E+02    0.20298E+07    0.21945E+04
   222    0.57518E+04    0.97167E+00    0.20869E+02    0.20192E+07    0.21779E+04
   223    0.57497E+04    0.10027E+01    0.22531E+02    0.20086E+07    0.21614E+04
   224    0.57470E+04    0.10354E+01    0.24199E+02    0.19982E+07    0.21450E+04
   225    0.57437E+04    0.10699E+01    0.25877E+02    0.19878E+07    0.21287E+04
   226    0.57397E+04    0.11062E+01    0.27561E+02    0.19775E+07    0.21125E+04
   227    0.57350E+04    0.11444E+01    0.29251E+02    0.19673E+07    0.20965E+04
   228    0.57298E+04    0.11843E+01    0.30948E+02    0.19572E+07    0.20805E+04
   229    0.57240E+04    0.12262E+01    0.32648E+02    0.19472E+07    0.20647E+04
   230    0.57175E+04    0.12700E+01    0.34354E+02    0.19372E+07    0.20490E+04
   231    0.57103E+04    0.13157E+01    0.36063E+02    0.19274E+07    0.20334E+04
   232    0.57025E+04    0.13633E+01    0.37775E+02    0.19176E+07    0.20179E+04
   233    0.56942E+04    0.14131E+01    0.39488E+02    0.19079E+07    0.20025E+04
   234    0.56850E+04    0.14648E+01    0.41202E+02    0.18982E+07    0.19873E+04
   235    0.56754E+04    0.15185E+01    0.42917E+02    0.18887E+07    0.19721E+04
   236    0.56650E+04    0.15743E+01    0.44632E+02    0.18792E+07    0.19571E+04
   237    0.56540E+04    0.16323E+01    0.46346E+02    0.18698E+07    0.19422E+04
   238    0.56424E+04    0.16924E+01    0.48058E+02    0.18605E+07    0.19273E+04
   239    0.56303E+04    0.17545E+01    0.49767E+02    0.18512E+07    0.19126E+04
   240    0.56174E+04    0.18188E+01    0.51473E+02    0.18420E+07    0.18980E+04
   241    0.56040E+04    0.18854E+01    0.53174E+02    0.18329E+07    0.18835E+04
   242    0.55900E+04    0.19540E+01    0.54871E+02    0.18239E+07    0.18691E+04
   243    0.55754E+04    0.20250E+01    0.56562E+02    0.18149E+07    0.18548E+04
   244    0.55602E+04    0.20981E+01    0.58247E+02    0.18060E+07    0.18405E+04
   245    0.55444E+04    0.21735E+01    0.59924E+02    0.17972E+07    0.18264E+04
   246    0.55280E+04    0.22512E+01    0.61594E+02    0.17884E+07    0.18124E+04
   247    0.55111E+04    0.23311E+01    0.63255E+02    0.17797E+07    0.17985E+04
   248    0.54936E+04    0.24135E+01    0.64907E+02    0.17711E+07    0.17847E+04
   249    0.54757E+04    0.24980E+01    0.66548E+02    0.17625E+07    0.17710E+04
   250    0.54571E+04    0.25849E+01    0.68178E+02    0.17540E+07    0.17574E+04
   251    0.54380E+04    0.26741E+01    0.69797E+02    0.17456E+07    0.17438E+04
   252    0.54183E+04    0.27657E+01    0.71403E+02    0.17372E+07    0.17304E+04
   253    0.53983E+04    0.28594E+01    0.72996E+02    0.17289E+07    0.17171E+04
   254    0.53776E+04    0.29557E+01    0.74574E+02    0.17206E+07    0.17038E+04
   255    0.53565E+04    0.30541E+01    0.76139E+02    0.17124E+07    0.16907E+04
   256    0.53348E+04    0.31551E+01    0.77690E+02    0.17043E+07    0.16776E+04
   257    0.53128E+04    0.32581E+01    0.79219E+02    0.16962E+07    0.16647E+04
   258    0.52901E+04    0.33637E+01    0.80738E+02    0.16882E+07    0.16518E+04
   259    0.52671E+04    0.34715E+01    0.82233E+02    0.16802E+07    0.16390E+04
   260    0.52436E+04    0.35817E+01    0.83719E+02    0.16723E+07    0.16263E+04
   261    0.52196E+04    0.36941E+01    0.85173E+02    0.16645E+07    0.16137E+04
   262    0.51951E+04    0.38089E+01    0.86617E+02    0.16567E+07    0.16011E+04
   263    0.51705E+04    0.39259E+01    0.88045E+02    0.16489E+07    0.15887E+04
   264    0.51452E+04    0.40453E+01    0.89448E+02    0.16413E+07    0.15763E+04
   265    0.51194E+04    0.41669E+01    0.90820E+02    0.16336E+07    0.15641E+04
   266    0.50933E+04    0.42908E+01    0.92182E+02    0.16261E+07    0.15519E+04
   267    0.50667E+04    0.44169E+01    0.93512E+02    0.16186E+07    0.15398E+04
   268    0.50397E+04    0.45454E+01    0.94825E+02    0.16111E+07    0.15278E+04
   269    0.50122E+04    0.46760E+01    0.96115E+02    0.16037E+07    0.15158E+04
   270    0.49845E+04    0.48088E+01    0.97379E+02    0.15963E+07    0.15040E+04
   271    0.49563E+04    0.49437E+01    0.98620E+02    0.15890E+07    0.14922E+04
   272    0.49279E+04    0.50810E+01    0.99828E+02    0.15818E+07    0.14805E+04
   273    0.48991E+04    0.52202E+01    0.10102E+03    0.15746E+07    0.14689E+04
   274    0.48699E+04    0.53617E+01    0.10217E+03    0.15674E+07    0.14574E+04
   275    0.48404E+04    0.55051E+01    0.10331E+03    0.15603E+07    0.14459E+04
   276    0.48107E+04    0.56507E+01    0.10440E+03    0.15533E+07    0.14345E+04
   277    0.47805E+04    0.57983E+01    0.10548E+03    0.15463E+07    0.14232E+04
   278    0.47501E+04    0.59479E+01    0.10652E+03    0.15394E+07    0.14120E+04
   279    0.47194E+04    0.60995E+01    0.10753E+03    0.15325E+07    0.14009E+04
   280    0.46885E+04    0.62530E+01    0.10852E+03    0.15256E+07    0.13898E+04
